Model,Group,EO_gap,Diff. TPR,Diff. TNR,Diff. FPR,Diff. FNR,SP,DI
0,sex_Female,0.1809471221176022,0.07538372027676121,0.18094712211760222,0.1809471221176022,0.07538372027676127,-0.30431706591154284,0.08509205633081529
0,age_>45,0.1455983098122955,0.0600476279426192,0.1455983098122955,0.1455983098122955,0.06004762794261925,0.20154660791310797,-0.055905906751778756
0,race_Black,0.1156399504815569,0.11160641234248514,0.11563995048155684,0.1156399504815569,0.11160641234248517,-0.23710771919387225,0.10055301260463534
0,race_White,0.09785763673740228,0.08528024819389013,0.09785763673740233,0.09785763673740228,0.08528024819389013,0.18446950196950201,-0.07003922776081128
0,race_Asian-Pac-Islander,0.07708388705795433,0.07708388705795433,0.07053930799368147,0.07053930799368147,0.0770838870579543,-0.05383401890102757,0.010709877781048038
0,race_Amer-Indian-Eskimo,0.10905652119544829,0.10905652119544829,0.07785129712137007,0.07785129712137012,0.10905652119544829,-0.03464838020878269,0.11083548051093706
1,sex_Female,0.21473837731844356,0.10173422060899373,0.21473837731844347,0.21473837731844356,0.10173422060899376,-0.33232898817057793,0.08685234482823267
1,age_>45,0.15463561652026625,0.04722200430800472,0.15463561652026625,0.15463561652026625,0.047222004308004634,0.19783752060411114,-0.048544943303305055
1,race_Black,0.15133102842341878,0.13132065112226798,0.15133102842341883,0.15133102842341878,0.13132065112226798,-0.2666972774205164,0.0912152244685015
1,race_White,0.10039808046211504,0.03398402173267823,0.10039808046211496,0.10039808046211504,0.03398402173267828,0.16644400894400896,-0.04039885485398731
1,race_Asian-Pac-Islander,0.06718361602375356,0.06718361602375356,0.0027427986660835124,0.0027427986660835957,0.06718361602375354,0.05463287943924233,-0.05254918787380669
1,race_Amer-Indian-Eskimo,0.16079375612222327,0.15388739527322748,0.16079375612222324,0.16079375612222327,0.15388739527322748,0.03785758706467668,0.14136499696588012
2,sex_Female,0.1810742355162215,0.10146314533271183,0.1810742355162216,0.1810742355162215,0.10146314533271186,-0.3091866750943615,0.08927010562034043
2,age_>45,0.1074554771457078,0.019957467662460204,0.10745547714570769,0.1074554771457078,0.019957467662460232,0.16127791914988604,-0.03843448939168481
2,race_Black,0.13187333077103844,0.10887926353319388,0.13187333077103847,0.13187333077103844,0.10887926353319399,-0.24458370679431535,0.07752686202108394
2,race_White,0.09091712568567745,0.023916072195510285,0.09091712568567756,0.09091712568567745,0.023916072195510285,0.15535724035724036,-0.029820244312353417
2,race_Asian-Pac-Islander,0.05737331394917777,0.05737331394917777,0.013248679420779563,0.013248679420779619,0.057373313949177746,0.05653153914934095,-0.041475466094102575
2,race_Amer-Indian-Eskimo,0.18015193197449042,0.18015193197449042,0.07081871899390146,0.07081871899390146,0.18015193197449045,-0.016594681937135147,0.06162358898869291
3,sex_Female,0.18000803883089864,0.11556071259739698,0.18000803883089866,0.18000803883089864,0.115560712597397,-0.31232198056853744,0.10668964155994187
3,age_>45,0.1617366969969808,0.04356972548070415,0.1617366969969808,0.1617366969969808,0.04356972548070415,0.19661713864439723,-0.039419189396408316
